condition,cell_id,cell_area,nucleus_area,cytoplasm_area,nc_ratio,dna_intensity,dna_nucleus_intensity,er_intensity,agp_intensity,mito_intensity,rna_intensity,eccentricity,solidity,dna_texture,mito_texture
CASP8_OE,7,4847.0,946,3901,0.19517227150814936,9.165875799463585,38.06025369978858,41.62801733030741,49.082937899731796,34.38786878481535,32.78997317928616,0.6945519542396632,0.9535707259492425,10.07768795105344,28.15885559607155
CASP8_OE,8,10271.0,1038,9233,0.10106124038555156,4.2064063869146135,34.859344894026975,15.426248661279331,18.25265310096388,14.547950540356343,11.201440950248271,0.6087140899000256,0.874202059749766,6.1809160231232445,16.854778232037955
CASP8_OE,9,11657.0,1072,10585,0.09196191129793257,3.8215664407652055,33.571828358208954,21.693317320065198,28.861542420863,17.3461439478425,14.83297589431243,0.4159811759615656,0.9764617188808846,5.665296722645136,15.2422161464701
CASP8_OE,10,7427.0,467,6960,0.06287868587585835,3.1920021543018717,21.869379014989292,22.146761814999326,26.765854315335936,21.050222162380503,14.458193079305238,0.38855752560330714,0.868756579716926,2.0429185780968058,22.592169481275263
CASP8_OE,11,1537.0,413,1124,0.2687052700065062,17.586857514638908,54.41162227602906,76.00260247234873,52.15224463240078,50.737800910865325,58.7462589459987,0.6680406823916636,0.9709412507896399,32.03199158306304,47.449053826416524
CASP8_OE,12,7334.0,846,6488,0.1153531497136624,5.725115898554677,43.141843971631204,22.042950640850833,26.975047722934278,15.466048541041724,15.591491682574311,0.5285738337439295,0.9614577871001573,10.845845405371378,13.680780830207672
CASP8_OE,13,7426.0,846,6580,0.11392405063291139,5.1704820899542145,38.185579196217496,21.915162941018046,26.63318071640183,16.08066253703205,15.328440614058712,0.7102612887816881,0.9536406831899319,7.491513249258959,13.721797623547316
CASP8_OE,14,7499.0,1148,6351,0.1530870782771036,6.035338045072677,32.153310104529616,22.004000533404454,23.050140018669158,16.541138818509136,15.039605280704095,0.7300831191763566,0.8840033007190853,5.419912426938453,13.278114158218344
CASP8_OE,15,4991.0,931,4060,0.18653576437587657,10.230014025245442,47.92373791621912,41.874574233620514,51.03005409737528,30.545381687036667,30.269685433780804,0.9774858067376573,0.7632665545190396,18.50234651104187,26.459578434534006
CASP8_OE,16,9772.0,1089,8683,0.11144085141219812,4.923454768726975,32.033976124885214,20.548198935734753,24.973086369218173,17.19064674580434,16.02425296766271,0.9228527784134821,0.6311438351740619,6.626167820447773,20.891891349078165
CASP8_OE,17,6013.0,948,5065,0.15765840678529852,7.263096623981374,36.017932489451475,29.71012805587893,33.10327623482455,26.506901712955262,24.709961749542657,0.8578833714505212,0.8439298245614035,7.659740162309171,25.1150320880435
CASP8_OE,18,661.0,351,310,0.5310136157337367,27.5446293494705,47.69230769230769,81.84720121028744,75.09682299546142,68.87291981845688,78.13615733736762,0.7737773034834872,0.9389204545454546,26.740856691809224,58.37265287813629
CASP8_OE,19,5189.0,873,4316,0.16824050876854885,8.956446328772403,43.063001145475376,34.07284640585855,40.0926960878782,26.928117170938524,29.985739063403354,0.8333957135192125,0.9302617425600573,12.121073775911867,35.32400531173105
CASP8_OE,20,5066.0,789,4277,0.15574417686537703,6.952822739834189,36.11533586818758,24.78760363205685,34.336162652980654,20.349190682984602,18.776549545992893,0.8315779852317479,0.9113149847094801,7.203585260360906,20.668492768093603
