Metadata_JCP2022,mean,std,count
JCP2022_804099,13.572165,7.9071827,5
JCP2022_807238,13.487534,1.7001336,5
JCP2022_805440,13.46324,0.929307,5
JCP2022_801136,13.450629,1.4216715,7
JCP2022_801140,13.430634,1.1976035,5
JCP2022_805622,13.396025,4.758732,7
JCP2022_805339,13.326976,1.4294819,5
JCP2022_805360,13.212967,18.029379,5
JCP2022_805425,13.189096,0.9627561,5
JCP2022_804578,13.181402,18.095633,5
JCP2022_807952,13.154226,12.648936,5
JCP2022_804353,13.138934,1.2474625,5
JCP2022_804050,13.133189,2.4215558,7
JCP2022_805956,13.01703,3.5453422,6
JCP2022_807976,12.913905,16.79097,5
JCP2022_801070,12.8113785,1.5182195,5
JCP2022_802067,12.788806,2.3087316,5
JCP2022_802060,12.76471,3.7591574,6
JCP2022_800929,12.751854,2.037369,5
JCP2022_806669,12.748102,0.86930436,5
JCP2022_806107,12.733122,4.1111927,5
JCP2022_802064,12.682459,1.2279848,5
JCP2022_801751,12.635869,0.9179055,5
JCP2022_806889,12.630396,2.67913,5
JCP2022_800759,12.616762,1.8538167,4
JCP2022_805796,12.555255,6.5730762,5
JCP2022_803500,12.532063,2.4530995,5
JCP2022_807396,12.48303,1.7552366,5
JCP2022_801252,12.451502,2.0576978,5
JCP2022_804429,12.411951,3.170596,5
JCP2022_801106,12.281062,1.2084174,5
JCP2022_801728,12.275092,2.5077066,5
JCP2022_803897,12.268111,2.5683432,7
JCP2022_802058,12.215453,1.7734902,5
JCP2022_801138,12.188165,1.6386214,5
JCP2022_805667,12.107142,1.1429017,5
JCP2022_807207,12.09307,13.651134,6
JCP2022_806667,12.064192,1.1081866,5
JCP2022_801139,12.059689,1.2804123,5
JCP2022_803106,11.971818,1.2764965,5
JCP2022_801524,11.940591,1.2233808,5
JCP2022_800054,11.909033,1.8979281,5
JCP2022_804883,11.897861,1.1139973,5
JCP2022_807498,11.865447,0.7618942,5
JCP2022_805943,11.849113,18.615923,7
JCP2022_802075,11.841112,0.772419,5
JCP2022_805070,11.819742,1.380509,5
JCP2022_801954,11.777188,0.6666607,5
JCP2022_803534,11.738335,1.5927131,5
