nucleus_area,cell_area,cytoplasm_area,nucleus_cell_ratio,nucleus_eccentricity,nucleus_solidity,nucleus_extent,cell_eccentricity,cell_solidity,cell_extent,cell_perimeter,cell_compactness,nucleus_dna_mean,nucleus_dna_std,nucleus_dna_max,cell_er_mean,cell_er_std,cyto_er_mean,cell_mito_mean,cell_mito_std,cyto_mito_mean,cell_agp_mean,cell_agp_std,cyto_agp_mean,cell_rna_mean,cell_rna_std,cyto_rna_mean,nucleus_dna_granularity,mito_granularity,site,condition
1336.0,1359.0,42,0.9830757910228108,0.8969165020167513,0.925207756232687,0.6549019607843137,0.8912603185070014,0.9470383275261324,0.6661764705882353,174.91168824543144,0.5582023461721195,62.119760479041915,32.538517460165636,160,67.3767476085357,31.052722917751424,58.69047619047619,21.440765268579838,11.13635408663841,25.357142857142858,7.811626195732156,2.346035483878483,6.761904761904762,60.5710080941869,30.450008460519406,52.142857142857146,31.45534693435837,10.759825417532488,1,NOTCH1_KO
1011.0,1047.0,36,0.9656160458452722,0.7988783851275721,0.9796511627906976,0.7020833333333333,0.7968678221513439,0.9794200187090739,0.6901779828609097,123.29646455628165,0.8654765363588058,101.39169139465875,34.82914196158346,188,80.52244508118433,26.93565190227919,68.08333333333333,22.732569245463228,4.550587920152193,28.77777777777778,10.495702005730658,2.3620953454990063,10.027777777777779,77.69245463228272,28.296812865234156,65.52777777777777,31.774404714307387,4.316266248628248,1,NOTCH1_KO
942.0,956.0,14,0.9853556485355649,0.735746374902586,0.9741468459152016,0.7658536585365854,0.7283114978986601,0.9715447154471545,0.7521636506687648,116.56854249492379,0.8841073958854214,96.42781316348196,34.17375657310056,164,72.42468619246861,27.899205485865163,55.0,24.597280334728033,5.993018334199256,18.714285714285715,8.232217573221757,1.4864969979945573,7.714285714285714,74.90376569037657,31.907770240478378,52.142857142857146,31.39373060090536,5.556217969373643,1,NOTCH1_KO
1430.0,1439.0,9,0.9937456567060459,0.8762334554333893,0.8926342072409488,0.5641025641025641,0.8763259853978281,0.8965732087227415,0.5676528599605523,177.29646455628165,0.5752683847559474,89.11958041958042,34.415342079562755,176,73.93050729673384,23.030496908651315,64.55555555555556,24.235580264072272,7.640967919763465,32.55555555555556,7.302988186240444,1.3420802494518889,7.333333333333333,72.69284225156359,24.72312611200208,68.66666666666667,31.61608172530602,7.265378919808942,1,NOTCH1_KO
742.0,755.0,13,0.9827814569536424,0.4242136044003716,0.9699346405228758,0.7995689655172413,0.44439074236352033,0.9729381443298969,0.7889237199582028,100.66904755831214,0.9361919365416088,76.19272237196766,19.421465349153433,125,71.32185430463576,23.41332584288551,68.3076923076923,21.29271523178808,3.9624579190152502,24.076923076923077,8.026490066225165,1.538671568893501,8.384615384615385,70.30198675496689,25.95771260598522,64.61538461538461,16.63979098176433,3.592900638930231,1,NOTCH1_KO
635.0,647.0,12,0.98145285935085,0.7566889380061027,0.9694656488549618,0.7055555555555556,0.7441499928372651,0.9714714714714715,0.7188888888888889,95.49747468305833,0.8915185211884122,69.53070866141732,16.43676267439347,129,65.52550231839258,25.0370769638343,60.416666666666664,22.26738794435858,3.466051271286529,21.666666666666668,7.6105100463678514,1.4282686591560811,8.666666666666666,66.26584234930448,26.885591802060382,64.58333333333333,14.307882164247825,3.0290409340772797,1,NOTCH1_KO
1084.0,1094.0,14,0.9908592321755028,0.8623298117581122,0.9739442946990117,0.640661938534279,0.8672748845266859,0.9724444444444444,0.6331018518518519,132.95331880577405,0.7777299442466084,96.98247232472325,32.46173829184446,173,75.53747714808044,32.237265436899456,63.857142857142854,23.681901279707496,5.329310971832627,32.0,8.361974405850091,1.729055425598855,7.571428571428571,76.52285191956125,34.00423310434504,61.857142857142854,29.827574249277824,4.534908735585356,1,NOTCH1_KO
628.0,632.0,4,0.9936708860759493,0.5597413790446781,0.9736434108527132,0.8051282051282052,0.5482364744482526,0.9753086419753086,0.8102564102564103,91.59797974644665,0.9465752657522394,88.7515923566879,29.407667454385297,151,78.79588607594937,28.963821532373334,53.25,23.06645569620253,5.266806862465927,25.0,9.344936708860759,1.9228817860395993,8.75,77.7120253164557,31.94451252888702,51.0,26.577931178499608,4.9180732522710615,1,NOTCH1_KO
840.0,885.0,45,0.9491525423728814,0.7934978283869993,0.9733487833140209,0.7692307692307693,0.7875154329388249,0.965103598691385,0.7350498338870431,115.15432893255071,0.8386728753175523,65.77142857142857,16.370782418895033,119,60.64293785310734,18.382845367309102,53.4,15.748022598870056,4.058722773627389,17.91111111111111,9.057627118644067,1.6447351432580166,10.666666666666666,52.49717514124294,18.66557431038641,48.91111111111111,14.609519097406547,3.8137783524292934,1,NOTCH1_KO
1049.0,1073.0,24,0.9776328052190121,0.3766481640154137,0.974907063197026,0.7887218045112782,0.3845356273780194,0.9790145985401459,0.8067669172932331,119.74011537017762,0.9404381564802063,96.6510962821735,31.778011914207582,174,76.44920782851817,25.883232703044957,63.666666666666664,24.32246039142591,4.399698022401006,35.208333333333336,10.11183597390494,2.0899126838740245,11.208333333333334,76.86393289841565,27.9738283725109,67.66666666666667,28.514868444779488,3.4950494113567343,1,NOTCH1_KO
797.0,825.0,28,0.9660606060606061,0.5314327453968829,0.9613992762364294,0.7116071428571429,0.5074070237390693,0.9637850467289719,0.7366071428571429,109.49747468305833,0.8646803826429231,69.85445420326224,16.829692224931513,120,65.88242424242424,21.497951844698786,50.5,18.03151515151515,4.045376051899944,19.607142857142858,8.917575757575758,1.7747027583864365,10.535714285714286,56.6169696969697,21.230993993894366,44.107142857142854,14.947546943930101,3.7102381208724227,1,NOTCH1_KO
